pipeline,img1,img2,kp1,kp2,desc1_bytes,desc2_bytes,detect_ms,match_ms,total_ms,good_matches,inliers,inlier_ratio,homography_found
ORB+BF(Hamming),UiA_front1.png,UiA_front3.jpg,4000,4000,128000,128000,48.10476303100586,116.77908897399902,164.88385200500488,30,7,0.23333333333333334,True
SIFT+FLANN,UiA_front1.png,UiA_front3.jpg,3341,3948,1710592,2021376,305.48787117004395,222.87297248840332,528.3608436584473,106,14,0.1320754716981132,True
